83,4,BN60301,10.22.103.101,38:22:e2:1e:22:22
84,4,BN60302,10.22.103.102,38:22:e2:1c:ea:fe
85,4,BN60303,10.22.103.103,38:22:e2:1e:1f:e8
86,4,BN60304,10.22.103.104,38:22:e2:1c:eb:19
87,4,BN60305,10.22.103.105,38:22:e2:1e:20:00
88,4,BN60306,10.22.103.106,38:22:e2:1e:22:30
89,4,BN60307,10.22.103.107,38:22:e2:1e:1f:e7
90,4,BN60308,10.22.103.108,38:22:e2:1c:eb:64
91,4,BN60309,10.22.103.109,38:22:e2:1e:22:2c
92,4,BN60310,10.22.103.110,38:22:e2:1e:1f:cd
93,4,BN60311,10.22.103.111,38:22:e2:1c:eb:98
94,4,BN60312,10.22.103.112,38:22:e2:1e:1f:65
95,4,BN60313,10.22.103.113,38:22:e2:1e:1f:56
96,4,BN60314,10.22.103.114,38:22:e2:1e:22:2b
97,4,BN60315,10.22.103.115,38:22:e2:1c:eb:94
98,4,BN60316,10.22.103.116,38:22:e2:1c:eb:8f
99,4,BN60317,10.22.103.117,38:22:e2:1c:ea:f9
100,4,BN60318,10.22.103.118,38:22:e2:1e:1f:55
101,4,BN60319,10.22.103.119,38:22:e2:1c:ea:fa
102,4,BN60320,10.22.103.120,38:22:e2:1e:22:36
103,4,BN60321,10.22.103.121,38:22:e2:1e:22:20
104,4,BN60322,10.22.103.122,38:22:e2:1c:eb:41
105,4,BN60323,10.22.103.123,38:22:e2:1e:1f:e5
106,4,BN60324,10.22.103.124,38:22:e2:1c:eb:8b
107,4,BN60325,10.22.103.125,38:22:e2:1e:22:28
108,4,BN60326,10.22.103.126,38:22:e2:1e:30:99
109,4,BN60327,10.22.103.127,38:22:e2:1c:eb:97
110,4,BN60328,10.22.103.128,38:22:e2:1c:eb:99
111,4,BN60329,10.22.103.129,38:22:e2:1e:25:cc
112,4,BN60330,10.22.103.130,38:22:e2:1e:22:1c
113,4,BN60331,10.22.103.131,38:22:e2:1e:1f:d3
114,4,BN60332,10.22.103.132,38:22:e2:1c:eb:9a
115,4,BN60333,10.22.103.133,38:22:e2:1e:1f:e9
116,4,BN60334,10.22.103.134,38:22:e2:1e:21:3d
117,4,BN60335,10.22.103.135,38:22:e2:1c:ea:d2
118,4,BN60336,10.22.103.136,38:22:e2:1c:eb:8d
119,4,BN60337,10.22.103.137,38:22:e2:1e:22:25
120,4,BN60338,10.22.103.138,38:22:e2:1c:ea:04
121,4,BN60339,10.22.103.139,38:22:e2:1e:22:1b
122,4,BN60340,10.22.103.140,38:22:e2:1c:e8:e6
123,4,BN60341,10.22.103.141,38:22:e2:1e:22:1d
124,5,BN60401,10.22.104.101,C4:65:16:B7:CF:32
125,5,BN60402,10.22.104.102,C4:65:16:B7:DB:22
126,5,BN60403,10.22.104.103,C4:65:16:B6:BB:27
127,5,BN60404,10.22.104.104,C4:65:16:B7:DA:AC
128,5,BN60405,10.22.104.105,C4:65:16:B7:C9:70
129,5,BN60406,10.22.104.106,C4:65:16:B7:D2:89
130,5,BN60407,10.22.104.107,C4:65:16:B7:CF:33
131,5,BN60408,10.22.104.108,C4:65:16:B7:CF:29
132,5,BN60409,10.22.104.109,C4:65:16:B7:CF:2F
133,5,BN60410,10.22.104.110,C4:65:16:9C:8A:28
134,5,BN60411,10.22.104.111,C4:65:16:9C:91:5E
135,5,BN60412,10.22.104.112,C4:65:16:9B:B4:DE
136,5,BN60413,10.22.104.113,C4:65:16:9A:FB:38
137,5,BN60414,10.22.104.114,C4:65:16:9C:8E:83
138,5,BN60415,10.22.104.115,C4:65:16:B7:D5:1A
139,5,BN60416,10.22.104.116,C4:65:16:B7:D5:2D
140,5,BN60417,10.22.104.117,C4:65:16:B7:DB:2A
141,5,BN60418,10.22.104.118,C4:65:16:9C:8F:37
142,5,BN60419,10.22.104.119,C4:65:16:B7:DA:C3
143,5,BN60420,10.22.104.120,C4:65:16:B7:D0:78
144,5,BN60421,10.22.104.121,C4:65:16:9C:91:82
145,5,BN60422,10.22.104.122,C4:65:16:9B:AC:5C
146,5,BN60423,10.22.104.123,C4:65:16:9C:91:91
147,5,BN60424,10.22.104.124,C4:65:16:9B:B3:82
148,5,BN60425,10.22.104.125,C4:65:16:B6:BB:10
149,5,BN60426,10.22.104.126,C4:65:16:9A:F7:3D
150,5,BN60427,10.22.104.127,C4:65:16:9B:B0:1D
151,5,BN60428,10.22.104.128,C4:65:16:9B:A8:B8
152,5,BN60429,10.22.104.129,C4:65:16:B6:BB:6D
153,5,BN60430,10.22.104.130,C4:65:16:B7:DA:A1
154,5,BN60431,10.22.104.131,C4:65:16:9B:B1:6C
155,5,BN60432,10.22.104.132,C4:65:16:9B:B0:5A
156,5,BN60433,10.22.104.133,C4:65:16:B7:DB:10
157,5,BN60434,10.22.104.134,C4:65:16:B7:D0:76
